Sl_no,Project_partner,State,Location,CT_no,Latitude,Longitude,Altitude,Grid_no,CT_loc_ID,PA_name,Range,Beat,Nearest_village,Date_of_Deployment,Habitat_type
41,Policy Advocacy and Reasearch Centre (PARC),Tripura,-,THT11,23.30345,91.3652,58,41,TRSHCT09,Trishna WLS,-,-,Manortila,22-02-2024,-
42,Policy Advocacy and Reasearch Centre (PARC),Tripura,Joychandpur,THT10,23.281083,91.399056,22,42,TRSHCT10,Trishna WLS,Rangamura,Joychandpur,Joychandpur,24-02-2024,-
43,Policy Advocacy and Reasearch Centre (PARC),Tripura,Joychandpur,THT39,23.281083,91.399056,22,43,TRSHCT10,Trishna WLS,Rangamura,Joychandpur,Joychandpur,24-02-2024,-
44,Policy Advocacy and Reasearch Centre (PARC),Tripura,Loharjum,-,23.232209,91.36371,-,44,TRSHCT11,Trishna WLS,Rajnagar,Loharjum,Loharjum,21-02-2024,-
45,Policy Advocacy and Reasearch Centre (PARC),Tripura,Loharjum,-,23.232209,91.36371,-,45,TRSHCT11,Trishna WLS,Rajnagar,Loharjum,Loharjum,21-02-2024,-
46,Policy Advocacy and Reasearch Centre (PARC),Tripura,Loharjum,THT32/P3,23.2375,91.36,-,46,TRSHCT12,Trishna WLS,Rajnagar,Loharjum,Loharjum,21-02-2024,-
47,Policy Advocacy and Reasearch Centre (PARC),Tripura,Loharjum,THT12/P7,23.2375,91.36,-,47,TRSHCT12,Trishna WLS,Rajnagar,Loharjum,Loharjum,21-02-2024,-
48,Policy Advocacy and Reasearch Centre (PARC),Tripura,-,THT21,23.249167,91.356944,-,48,TRSHCT13,Trishna WLS,Rangamura,-,-,21-02-2024,-
49,Policy Advocacy and Reasearch Centre (PARC),Tripura,-,P17,23.249167,91.356944,-,49,TRSHCT13,Trishna WLS,Rangamura,-,-,21-02-2024,-
50,Policy Advocacy and Reasearch Centre (PARC),Tripura,Steel Tower,THT38,23.270556,91.356389,-,50,TRSHCT14,Trishna WLS,Rangamura,Steel Tower,Steel Tower,21-02-2024,-
51,Policy Advocacy and Reasearch Centre (PARC),Tripura,Steel Tower,THT40,23.270556,91.356389,-,51,TRSHCT14,Trishna WLS,Rangamura,Steel Tower,Steel Tower,21-02-2024,-
52,Policy Advocacy and Reasearch Centre (PARC),Tripura,Mandaria,P15,-,-,-,52,TRSHCT16,-,-,Mandaria,Mandaria,22-02-2024,-
53,Policy Advocacy and Reasearch Centre (PARC),Tripura,Mandaria,P9,-,-,-,53,TRSHCT16,-,-,Mandaria,Mandaria,22-02-2024,-
54,Policy Advocacy and Reasearch Centre (PARC),Tripura,Gandachhera,P21,23.620278,91.789444,120,54,GUM_GAN_CT1,Gumti,Gandachhera,Gandachhera,Laxmipur,10-03-2024,-
55,Policy Advocacy and Reasearch Centre (PARC),Tripura,Jagabandhu para,P7,23.673833,91.778694,153,55,GUM_JBP_CT1,Gumti,Gandachhera,Jagabandhu para,Dalirai para,10-03-2024,-
56,Policy Advocacy and Reasearch Centre (PARC),Tripura,Jagabandhu para,THT19,23.673833,91.778694,153,56,GUM_JBP_CT1,Gumti,Gandachhera,Jagabandhu para,Dalirai para,10-03-2024,-
57,Policy Advocacy and Reasearch Centre (PARC),Tripura,Barabari,P18,23.684122,91.835794,147,57,GUM_BAR_CT1,Gumti,Gandachhera,Barabari,Shikaripara,10-03-2024,-
58,Policy Advocacy and Reasearch Centre (PARC),Tripura,Barabari,THT39,23.683964,91.836039,147,58,GUM_BAR_CT1,Gumti,Gandachhera,Barabari,Shikaripara,10-03-2024,-
59,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kalajhari,P10,23.519167,91.777222,130,59,GUM_KAL_CT1,Gumti,Gandachhera,Kalajhari,Ajidapara,11-03-2024,-
60,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kalajhari,THT26,23.519167,91.777222,130,60,GUM_KAL_CT1,Gumti,Gandachhera,Kalajhari,Ajidapara,11-03-2024,-
61,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kalajhari,P16,23.552222,91.757278,133,61,GUM_KAL_CT2,Gumti,Gandachhera,Kalajhari,Montila,11-03-2024,-
62,Policy Advocacy and Reasearch Centre (PARC),Tripura,Dhalajari,P9,23.582547,91.782467,107,62,GUM_DAL_CT1,Gumti,Gandachhera,Dhalajari,Montopara,11-03-2024,-
63,Policy Advocacy and Reasearch Centre (PARC),Tripura,Dhalajari,THT24,23.582547,91.782467,107,63,GUM_DAL_CT1,Gumti,Gandachhera,Dhalajari,Montopara,11-03-2024,-
64,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kalajhari,THT13,23.535733,91.764483,142,64,GUM_KAL_CT3,Gumti,Gandachhera,Kalajhari,Saduchandra Reangpara,11-03-2024,-
65,Policy Advocacy and Reasearch Centre (PARC),Tripura,Kalajhari,P20,23.535733,91.764483,142,65,GUM_KAL_CT3,Gumti,Gandachhera,Kalajhari,Ajidapara,11-03-2024,-
66,Policy Advocacy and Reasearch Centre (PARC),Tripura,karmapara,P14,23.767906,91.781253,133,66,GUM_KAR_CT1,Gumti,Ganganagar,karmapara,Paltanpara,12-03-2024,-
67,Policy Advocacy and Reasearch Centre (PARC),Tripura,karmapara,THT12,23.767906,91.781253,133,67,GUM_KAR_CT1,Gumti,Ganganagar,karmapara,Paltanpara,12-03-2024,-
68,Policy Advocacy and Reasearch Centre (PARC),Tripura,Ganganagar,P6,23.766733,91.827233,115,68,GUM_GANG_CT1,Gumti,Ganganagar,Ganganagar,Gumseng,12-03-2024,-
